original_column,clear_name,description
nh04_gee_terrain_class,EXCL_NH_04_GeeTerrainClass_VALUE_class,Terrain classification from Google Earth Engine
nh04_slope_discrepancy,EXCL_NH_04_SlopeDiscrepancy_VALUE_text,Discrepancy flag between CopDEM and GEE slope values
nh04_slope_fusion_method,EXCL_NH_04_SlopeFusionMethod_VALUE_text,Method used to fuse multi-source slope data
nh04_cross_source_summary,EXCL_NH_04_CrossSourceSummary_COMMENT_text,Cross-source slope comparison summary
nh04_quality,EXCL_NH_04_SlopeStability_QUALITY_assessment,Slope Stability quality assessment
nh04_comment,EXCL_NH_04_SlopeStability_COMMENT_text,Slope Stability detailed comment
karst_present,EXCL_NH_05_KarstPresent_VALUE_bool,Whether karst terrain is present at site
karst_severity,EXCL_NH_05_KarstSeverity_VALUE_class,Karst severity classification
karst_formation_type,EXCL_NH_05_KarstFormationType_VALUE_text,Type of karst geological formation
nh05_quality,EXCL_NH_05_Karst_QUALITY_assessment,Karst quality assessment
nh05_comment,EXCL_NH_05_Karst_COMMENT_text,Karst detailed comment
mining_void_present,EXCL_NH_05b_MiningVoidPresent_VALUE_bool,Whether mining voids are present at site
subsidence_risk_class,EXCL_NH_05b_SubsidenceRiskClass_VALUE_class,Subsidence risk classification
collapse_mechanism,EXCL_NH_05b_CollapseMechanism_VALUE_text,Description of potential collapse mechanism
nh05b_quality,EXCL_NH_05b_Subsidence_QUALITY_assessment,Subsidence quality assessment
nh05b_comment,EXCL_NH_05b_Subsidence_COMMENT_text,Subsidence detailed comment
bearing_capacity_kpa,RANK_NH_06_BearingCapacity_VALUE_kPa,Bearing capacity in kilopascals
depth_to_bedrock_m,RANK_NH_06_DepthToBedrock_VALUE_m,Depth to bedrock in meters
nh06_quality,RANK_NH_06_Foundation_QUALITY_assessment,Foundation conditions quality assessment
nh06_comment,RANK_NH_06_Foundation_COMMENT_text,Foundation conditions detailed comment
nearest_holocene_volcano_km,EXCL_NH_07_NearestVolcanoDist_VALUE_km,Distance to nearest Holocene volcano in kilometers
volcano_name,EXCL_NH_07_VolcanoName_VALUE_text,Name of nearest Holocene volcano
nh07_quality,EXCL_NH_07_Volcanism_QUALITY_assessment,Volcanism quality assessment
nh07_comment,EXCL_NH_07_Volcanism_COMMENT_text,Volcanism detailed comment
distance_to_coast_km,AVOID_NH_08_CoastDistance_VALUE_km,Distance to nearest coastline in kilometers
storm_surge_risk,AVOID_NH_08_StormSurgeRisk_VALUE_class,Storm surge risk classification
tsunami_risk,AVOID_NH_08_TsunamiRisk_VALUE_class,Tsunami risk classification
nh08_quality,AVOID_NH_08_CoastalFlooding_QUALITY_assessment,Coastal Flooding quality assessment
nh08_comment,AVOID_NH_08_CoastalFlooding_COMMENT_text,Coastal Flooding detailed comment
flood_zone_class,AVOID_NH_09_FloodZoneClass_VALUE_class,Flood zone classification
nearest_river_km,AVOID_NH_09_NearestRiverDist_VALUE_km,Distance to nearest river in kilometers
dam_break_exposure,AVOID_NH_09_DamBreakExposure_VALUE_bool,Whether site is in a dam-break inundation zone
nh09_quality,AVOID_NH_09_RiverFlooding_QUALITY_assessment,River Flooding quality assessment
nh09_comment,AVOID_NH_09_RiverFlooding_COMMENT_text,River Flooding detailed comment
max_wind_speed_ms,RANK_NH_10_MaxWindSpeed_VALUE_m_per_s,Maximum wind speed in meters per second
nh10_quality,RANK_NH_10_ExtremeWinds_QUALITY_assessment,Extreme Winds quality assessment
nh10_comment,RANK_NH_10_ExtremeWinds_COMMENT_text,Extreme Winds detailed comment
extreme_precip_mm,RANK_NH_11_ExtremePrecip_VALUE_mm,Extreme precipitation in millimeters
nh11_quality,RANK_NH_11_ExtremePrecip_QUALITY_assessment,Extreme Precipitation quality assessment
nh11_comment,RANK_NH_11_ExtremePrecip_COMMENT_text,Extreme Precipitation detailed comment
extreme_temp_max_c,RANK_NH_12_ExtremeTempMax_VALUE_degC,Extreme maximum temperature in degrees Celsius
extreme_temp_min_c,RANK_NH_12_ExtremeTempMin_VALUE_degC,Extreme minimum temperature in degrees Celsius
nh12_quality,RANK_NH_12_ExtremeTemp_QUALITY_assessment,Extreme Temperature quality assessment
nh12_comment,RANK_NH_12_ExtremeTemp_COMMENT_text,Extreme Temperature detailed comment
wildfire_combustible_pct,RANK_NH_13_CombustibleLandPct_VALUE_pct,Percentage of combustible land cover around site
wildfire_wui_ha,RANK_NH_13_WildfireUrbanInterfaceArea_VALUE_ha,Wildland-Urban Interface area in hectares
nh13_gee_modis_burn_months,RANK_NH_13_GeeModisBurnMonths_VALUE_months,MODIS-detected burn months from Google Earth Engine
nh13_gee_fire_recurrence_class,RANK_NH_13_GeeFireRecurrenceClass_VALUE_class,Fire recurrence classification from Google Earth Engine
nh13_gee_burn_fraction_mean,RANK_NH_13_GeeBurnFractionMean_VALUE_fraction,Mean burn area fraction from Google Earth Engine
nh13_cross_source_summary,RANK_NH_13_CrossSourceSummary_COMMENT_text,Cross-source wildfire comparison summary
nh13_quality,RANK_NH_13_Wildfire_QUALITY_assessment,Wildfire quality assessment
nh13_comment,RANK_NH_13_Wildfire_COMMENT_text,Wildfire detailed comment
combined_hazard_notes,RANK_NH_14_CombinedHazardNotes_COMMENT_text,Combined natural hazards narrative
nh14_quality,RANK_NH_14_CombinedHazards_QUALITY_assessment,Combined Hazards quality assessment
nh14_comment,RANK_NH_14_CombinedHazards_COMMENT_text,Combined Hazards detailed comment
nearest_airport_km,AVOID_HI_01_AirportDistance_VALUE_km,Distance to nearest airport in kilometers
nearest_airport_name,AVOID_HI_01_AirportName_VALUE_text,Name of nearest airport
nearest_airport_type,AVOID_HI_01_AirportType_VALUE_text,Type of nearest airport
flight_path_distance_km,AVOID_HI_01_FlightPathDist_VALUE_km,Distance to flight path in kilometers
airport_count,AVOID_HI_01_AirportCount_VALUE_count,Number of airports within search radius
hi01_quality,AVOID_HI_01_AircraftCrash_QUALITY_assessment,Aircraft Crash quality assessment
hi01_comment,AVOID_HI_01_AircraftCrash_COMMENT_text,Aircraft Crash detailed comment
nearest_seveso_km,AVOID_HI_02_SevesoDistance_VALUE_km,Distance to nearest Seveso industrial site in kilometers
nearest_industrial_km,AVOID_HI_02_IndustrialDistance_VALUE_km,Distance to nearest industrial facility in kilometers
hi02_quality,AVOID_HI_02_IndustrialExplosion_QUALITY_assessment,Industrial Explosions quality assessment
hi02_comment,AVOID_HI_02_IndustrialExplosion_COMMENT_text,Industrial Explosions detailed comment
nearest_toxic_source_km,AVOID_HI_03_ToxicSourceDist_VALUE_km,Distance to nearest toxic/gas release source in kilometers
hi03_quality,AVOID_HI_03_ToxicReleases_QUALITY_assessment,Toxic Releases quality assessment
hi03_comment,AVOID_HI_03_ToxicReleases_COMMENT_text,Toxic Releases detailed comment
nearest_flammable_storage_km,AVOID_HI_04_FlammableStorageDist_VALUE_km,Distance to nearest flammable storage in kilometers
nearest_pipeline_km,AVOID_HI_04_PipelineDist_VALUE_km,Distance to nearest pipeline in kilometers
hi04_quality,AVOID_HI_04_ExternalFires_QUALITY_assessment,External Fires quality assessment
hi04_comment,AVOID_HI_04_ExternalFires_COMMENT_text,External Fires detailed comment
hazmat_route_distance_km,RANK_HI_05_HazmatRouteDist_VALUE_km,Distance to nearest hazmat transport route in kilometers
hi05_quality,RANK_HI_05_TransportHazards_QUALITY_assessment,Transport Hazards quality assessment
hi05_comment,RANK_HI_05_TransportHazards_COMMENT_text,Transport Hazards detailed comment
nearest_military_km,AVOID_HI_06_MilitaryDist_VALUE_km,Distance to nearest military installation in kilometers
nearest_military_name,AVOID_HI_06_MilitaryName_VALUE_text,Name of nearest military installation
military_count,AVOID_HI_06_MilitaryCount_VALUE_count,Number of military installations within search radius
hi06_quality,AVOID_HI_06_Military_QUALITY_assessment,Military Installations quality assessment
hi06_comment,AVOID_HI_06_Military_COMMENT_text,Military Installations detailed comment
nearest_transmitter_km,RANK_HI_07_TransmitterDist_VALUE_km,Distance to nearest transmitter in kilometers
transmitter_type,RANK_HI_07_TransmitterType_VALUE_text,Type of nearest transmitter
transmitter_count,RANK_HI_07_TransmitterCount_VALUE_count,Number of transmitters within search radius
hi07_quality,RANK_HI_07_EMI_QUALITY_assessment,Electromagnetic Interference quality assessment
hi07_comment,RANK_HI_07_EMI_COMMENT_text,Electromagnetic Interference detailed comment
nearest_nuclear_km,RANK_HI_08_NuclearInstDist_VALUE_km,Distance to nearest nuclear installation in kilometers
nearest_nuclear_name,RANK_HI_08_NuclearInstName_VALUE_text,Name of nearest nuclear installation
hi08_quality,RANK_HI_08_OtherNuclear_QUALITY_assessment,Other Nuclear Installations quality assessment
hi08_comment,RANK_HI_08_OtherNuclear_COMMENT_text,Other Nuclear Installations detailed comment
prevailing_wind_dir,RANK_RI_01_PrevailingWindDir_VALUE_text,Prevailing wind direction
avg_wind_speed_ms,RANK_RI_01_AvgWindSpeed_VALUE_m_per_s,Average wind speed in meters per second
mixing_height_m,RANK_RI_01_MixingHeight_VALUE_m,Atmospheric mixing height in meters
ri01_quality,RANK_RI_01_AtmosphericDispersion_QUALITY_assessment,Atmospheric Dispersion quality assessment
ri01_comment,RANK_RI_01_AtmosphericDispersion_COMMENT_text,Atmospheric Dispersion detailed comment
nearest_river_flow_m3s,RANK_RI_02_NearestRiverFlow_VALUE_m3_per_s,Nearest river flow rate in cubic meters per second
ri02_quality,RANK_RI_02_SurfaceWaterDispersion_QUALITY_assessment,Surface Water Dispersion quality assessment
ri02_comment,RANK_RI_02_SurfaceWaterDispersion_COMMENT_text,Surface Water Dispersion detailed comment
aquifer_type,RANK_RI_03_AquiferType_VALUE_text,Aquifer type classification
groundwater_flow_dir,RANK_RI_03_GroundwaterFlowDir_VALUE_text,Groundwater flow direction
ri03_quality,RANK_RI_03_GroundwaterDispersion_QUALITY_assessment,Groundwater Dispersion quality assessment
ri03_comment,RANK_RI_03_GroundwaterDispersion_COMMENT_text,Groundwater Dispersion detailed comment
pop_density_5km,AVOID_RI_04_PopDensity5km_VALUE_per_km2,Population density within 5km radius per km²
pop_density_16km,AVOID_RI_04_PopDensity16km_VALUE_per_km2,Population density within 16km radius per km²
pop_density_25km,AVOID_RI_04_PopDensity25km_VALUE_per_km2,Population density within 25km radius per km²
pop_density_80km,AVOID_RI_04_PopDensity80km_VALUE_per_km2,Population density within 80km radius per km²
pop_total_5km,AVOID_RI_04_PopTotal5km_VALUE_people,Total population within 5km radius
pop_total_16km,AVOID_RI_04_PopTotal16km_VALUE_people,Total population within 16km radius
pop_total_25km,AVOID_RI_04_PopTotal25km_VALUE_people,Total population within 25km radius
pop_total_80km,AVOID_RI_04_PopTotal80km_VALUE_people,Total population within 80km radius
ri04_quality,AVOID_RI_04_PopulationDensity_QUALITY_assessment,Population Density quality assessment
ri04_comment,AVOID_RI_04_PopulationDensity_COMMENT_text,Population Density detailed comment
nearest_city_50k_km,RANK_RI_05_NearestCity50kDist_VALUE_km,Distance to nearest city with 50k+ population in kilometers
nearest_city_name,RANK_RI_05_NearestCityName_VALUE_text,Name of nearest city with 50k+ population
nearest_city_pop,RANK_RI_05_NearestCityPop_VALUE_people,Population of nearest city with 50k+ population
ri05_quality,RANK_RI_05_PopCentres_QUALITY_assessment,Population Centres quality assessment
ri05_comment,RANK_RI_05_PopCentres_COMMENT_text,Population Centres detailed comment
pop_growth_rate_pct,RANK_RI_06_PopGrowthRate_VALUE_pct,Population growth rate as percentage
projected_pop_25km_60yr,RANK_RI_06_ProjectedPop25km60yr_VALUE_people,Projected population within 25km in 60 years
ri06_quality,RANK_RI_06_PopProjections_QUALITY_assessment,Population Projections quality assessment
ri06_comment,RANK_RI_06_PopProjections_COMMENT_text,Population Projections detailed comment
ep01_composite_score,AVOID_EP_01_EmergencyPlanScore_VALUE_score,Emergency Planning Feasibility composite score
ep01_road_score,AVOID_EP_01_RoadScore_VALUE_score,Emergency Planning road network score
ep01_special_pop_score,AVOID_EP_01_SpecialPopScore_VALUE_score,Emergency Planning special populations score
ep01_geography_score,AVOID_EP_01_GeographyScore_VALUE_score,Emergency Planning geography score
ep01_population_score,AVOID_EP_01_PopulationScore_VALUE_score,Emergency Planning population score
ep01_terrain_score,AVOID_EP_01_TerrainScore_VALUE_score,Emergency Planning terrain difficulty score
ep01_evacuation_feasible,AVOID_EP_01_EvacuationFeasible_VALUE_bool,Whether evacuation is feasible for the site
ep01_quality,AVOID_EP_01_EmergencyPlanFeasibility_QUALITY_assessment,Emergency Planning Feasibility quality assessment
ep01_comment,AVOID_EP_01_EmergencyPlanFeasibility_COMMENT_text,Emergency Planning Feasibility detailed comment
road_density_km_per_km2,RANK_EP_02_RoadDensity_VALUE_km_per_km2,Road density in km per km² within EPZ
total_road_km,RANK_EP_02_TotalRoadLength_VALUE_km,Total road length within EPZ in kilometers
has_motorway_access,RANK_EP_02_MotorwayAccess_VALUE_bool,Whether site has motorway access
ep02_quality,RANK_EP_02_EvacuationRoutes_QUALITY_assessment,Evacuation Routes quality assessment
ep02_comment,RANK_EP_02_EvacuationRoutes_COMMENT_text,Evacuation Routes detailed comment
major_river_barrier,RANK_EP_03_MajorRiverBarrier_VALUE_bool,Whether a major river barrier exists in EPZ
waterway_count_epz,RANK_EP_03_WaterwayCountEPZ_VALUE_count,Number of waterways within EPZ
ep03_gee_relief_16km_m,RANK_EP_03_GeeRelief16km_VALUE_m,Terrain relief within 16km from Google Earth Engine in meters
ep03_gee_mountain_barrier_score,RANK_EP_03_GeeMountainBarrierScore_VALUE_score,Mountain barrier score from Google Earth Engine
ep03_cross_source_summary,RANK_EP_03_CrossSourceSummary_COMMENT_text,Cross-source geography constraints summary
ep03_quality,RANK_EP_03_GeographyConstraints_QUALITY_assessment,Physical Geography Constraints quality assessment
ep03_comment,RANK_EP_03_GeographyConstraints_COMMENT_text,Physical Geography Constraints detailed comment
hospital_count_epz,RANK_EP_04_HospitalCountEPZ_VALUE_count,Number of hospitals within EPZ
prison_count_epz,RANK_EP_04_PrisonCountEPZ_VALUE_count,Number of prisons within EPZ
care_home_count_epz,RANK_EP_04_CareHomeCountEPZ_VALUE_count,Number of care homes within EPZ
ep04_quality,RANK_EP_04_SpecialPopulations_QUALITY_assessment,Special Populations quality assessment
ep04_comment,RANK_EP_04_SpecialPopulations_COMMENT_text,Special Populations detailed comment
concurrent_hazard_notes,RANK_EP_05_ConcurrentHazardNotes_COMMENT_text,Concurrent hazard impact narrative
ep05_quality,RANK_EP_05_ConcurrentHazard_QUALITY_assessment,Concurrent Hazard quality assessment
ep05_comment,RANK_EP_05_ConcurrentHazard_COMMENT_text,Concurrent Hazard detailed comment
cooling_source_type,RANK_NS_01_CoolingSourceType_VALUE_text,Type of cooling water source
cooling_source_name,RANK_NS_01_CoolingSourceName_VALUE_text,Name of cooling water source
cooling_distance_km,RANK_NS_01_CoolingDistance_VALUE_km,Distance to cooling water source in kilometers
cooling_flow_m3s,RANK_NS_01_CoolingFlow_VALUE_m3_per_s,Cooling water flow rate in cubic meters per second
water_stress_score,RANK_NS_01_WaterStressScore_VALUE_score,WRI Aqueduct water stress score
water_stress_label,RANK_NS_01_WaterStressLabel_VALUE_text,WRI Aqueduct water stress category label
ns01_source,RANK_NS_01_CoolingWaterAvail_SOURCE_text,Cooling Water Availability data source
ns01_quality,RANK_NS_01_CoolingWaterAvail_QUALITY_assessment,Cooling Water Availability quality assessment
ns01_comment,RANK_NS_01_CoolingWaterAvail_COMMENT_text,Cooling Water Availability detailed comment
nearest_substation_km,AVOID_NS_02_SubstationDistance_VALUE_km,Distance to nearest electrical substation in kilometers
substation_name,AVOID_NS_02_SubstationName_VALUE_text,Name of nearest electrical substation
nearest_hv_line_km,AVOID_NS_02_HVLineDistance_VALUE_km,Distance to nearest high voltage line in kilometers
hv_line_voltage_kv,AVOID_NS_02_HVLineVoltage_VALUE_kV,High voltage line voltage in kilovolts
hv_line_count,AVOID_NS_02_HVLineCount_VALUE_count,Number of HV lines within search radius
substation_count,AVOID_NS_02_SubstationCount_VALUE_count,Number of substations within search radius
grid_export_capacity_mw,AVOID_NS_02_GridExportCapacity_VALUE_MW,Grid export capacity in megawatts
ns02_quality,AVOID_NS_02_GridConnection_QUALITY_assessment,Grid Connection quality assessment
ns02_comment,AVOID_NS_02_GridConnection_COMMENT_text,Grid Connection detailed comment
nearest_highway_km,AVOID_NS_03_HighwayDistance_VALUE_km,Distance to nearest highway in kilometers
nearest_rail_km,AVOID_NS_03_RailDistance_VALUE_km,Distance to nearest railway in kilometers
nearest_waterway_km,AVOID_NS_03_WaterwayDistance_VALUE_km,Distance to nearest navigable waterway in kilometers
heavy_haul_capable,AVOID_NS_03_HeavyHaulCapable_VALUE_bool,Heavy haul transport capability
ns03_quality,AVOID_NS_03_TransportAccess_QUALITY_assessment,Transport Access quality assessment
ns03_comment,AVOID_NS_03_TransportAccess_COMMENT_text,Transport Access detailed comment
dominant_land_class,RANK_NS_04_DominantLandClass_VALUE_text,Dominant land cover classification
dominant_class_pct,RANK_NS_04_DominantClassPct_VALUE_pct,Dominant land class percentage
favourable_land_pct,RANK_NS_04_FavourableLandPct_VALUE_pct,Favourable land percentage
moderate_land_pct,RANK_NS_04_ModerateLandPct_VALUE_pct,Moderate land percentage
unfavourable_land_pct,RANK_NS_04_UnfavourableLandPct_VALUE_pct,Unfavourable land percentage
ns04_gee_terrain_class,RANK_NS_04_GeeTerrainClass_VALUE_class,Terrain classification from Google Earth Engine
ns04_gee_relief_range_m,RANK_NS_04_GeeReliefRange_VALUE_m,Terrain relief range from Google Earth Engine in meters
ns04_gee_grading_class,RANK_NS_04_GeeGradingClass_VALUE_class,Terrain grading difficulty class from Google Earth Engine
ns04_cross_source_summary,RANK_NS_04_CrossSourceSummary_COMMENT_text,Cross-source topography comparison summary
ns04_quality,RANK_NS_04_Topography_QUALITY_assessment,Site Topography quality assessment
ns04_comment,RANK_NS_04_Topography_COMMENT_text,Site Topography detailed comment
buildable_area_ha,AVOID_NS_05_BuildableArea_VALUE_ha,Buildable area in hectares
largest_contiguous_ha,AVOID_NS_05_LargestContiguousArea_VALUE_ha,Largest contiguous buildable area in hectares
patch_count,AVOID_NS_05_PatchCount_VALUE_count,Number of buildable land patches
ns05_quality,AVOID_NS_05_LandAvailability_QUALITY_assessment,Land Availability quality assessment
ns05_comment,AVOID_NS_05_LandAvailability_COMMENT_text,Land Availability detailed comment
reusable_infra_score,RANK_NS_06_ReusableInfraScore_VALUE_score,Reusable infrastructure score (1-5)
ns06_gee_built_fraction,RANK_NS_06_GeeBuiltFraction_VALUE_fraction,Built-up fraction from Google Earth Engine
ns06_gee_demolition_class,RANK_NS_06_GeeDemolitionClass_VALUE_class,Demolition need classification from Google Earth Engine
ns06_cross_source_summary,RANK_NS_06_CrossSourceSummary_COMMENT_text,Cross-source existing infrastructure summary
ns06_quality,RANK_NS_06_ExistingInfra_QUALITY_assessment,Existing Infrastructure quality assessment
ns06_comment,RANK_NS_06_ExistingInfra_COMMENT_text,Existing Infrastructure detailed comment
env_impact_notes,RANK_NS_07_EnvImpactNotes_COMMENT_text,Non-radiological environmental impact narrative
ns07_quality,RANK_NS_07_EnvImpactNonRad_QUALITY_assessment,Environmental Impact (non-rad) quality assessment
ns07_comment,RANK_NS_07_EnvImpactNonRad_COMMENT_text,Environmental Impact (non-rad) detailed comment
ecological_natural_pct,AVOID_NS_08_EcologicalNaturalPct_VALUE_pct,Percentage of natural/semi-natural land cover
ecological_patch_count,AVOID_NS_08_EcologicalPatchCount_VALUE_count,Number of ecological patches
ecological_largest_patch_ha,AVOID_NS_08_EcologicalLargestPatch_VALUE_ha,Largest ecological patch in hectares
n2k_nearest_distance_km,AVOID_NS_08_Natura2000Distance_VALUE_km,Distance to nearest Natura 2000 site in kilometers
n2k_overlap,AVOID_NS_08_Natura2000Overlap_VALUE_bool,Whether site overlaps a Natura 2000 area
n2k_sensitivity_class,AVOID_NS_08_Natura2000SensitivityClass_VALUE_class,Natura 2000 ecological sensitivity classification
n2k_result_json,AVOID_NS_08_Natura2000Results_VALUE_json,Natura 2000 query results as JSON
ns08_source,AVOID_NS_08_EcologicalSensitivity_SOURCE_text,Ecological Sensitivity data source
ns08_quality,AVOID_NS_08_EcologicalSensitivity_QUALITY_assessment,Ecological Sensitivity quality assessment
ns08_comment,AVOID_NS_08_EcologicalSensitivity_COMMENT_text,Ecological Sensitivity detailed comment
wdpa_nearest_distance_km,AVOID_NS_08_WdpaProtectedAreaDist_VALUE_km,Distance to nearest WDPA protected area in kilometers
wdpa_overlap,AVOID_NS_08_WdpaOverlap_VALUE_bool,Whether site overlaps a WDPA protected area
wdpa_sensitivity_class,AVOID_NS_08_WdpaSensitivityClass_VALUE_class,WDPA ecological sensitivity classification
wdpa_result_json,AVOID_NS_08_WdpaResults_VALUE_json,WDPA query results as JSON
wdpa_source,AVOID_NS_08_WdpaProtectedArea_SOURCE_text,WDPA Protected Area data source
wdpa_quality,AVOID_NS_08_WdpaProtectedArea_QUALITY_assessment,WDPA Protected Area quality assessment
wdpa_comment,AVOID_NS_08_WdpaProtectedArea_COMMENT_text,WDPA Protected Area detailed comment
ns09_quality,RANK_NS_09_SocioeconomicImpact_QUALITY_assessment,Socioeconomic Impact quality assessment
ns09_comment,RANK_NS_09_SocioeconomicImpact_COMMENT_text,Socioeconomic Impact detailed comment
ns10_quality,RANK_NS_10_WorkforceAvailability_QUALITY_assessment,Workforce Availability quality assessment
ns10_comment,RANK_NS_10_WorkforceAvailability_COMMENT_text,Workforce Availability detailed comment
ns11_quality,RANK_NS_11_CoalToNuclearSynergies_QUALITY_assessment,Coal-to-Nuclear Synergies quality assessment
ns11_comment,RANK_NS_11_CoalToNuclearSynergies_COMMENT_text,Coal-to-Nuclear Synergies detailed comment
ns12_quality,RANK_NS_12_RegulatoryPolitical_QUALITY_assessment,Regulatory/Political quality assessment
ns12_comment,RANK_NS_12_RegulatoryPolitical_COMMENT_text,Regulatory/Political detailed comment
laydown_suitable_ha,RANK_NS_13_LaydownSuitableArea_VALUE_ha,Suitable laydown area in hectares
laydown_largest_patch_ha,RANK_NS_13_LaydownLargestPatch_VALUE_ha,Largest laydown area patch in hectares
ns13_quality,RANK_NS_13_ConstructionLogistics_QUALITY_assessment,Construction Logistics quality assessment
ns13_comment,RANK_NS_13_ConstructionLogistics_COMMENT_text,Construction Logistics detailed comment
