country_code,name,status,site_id,site_area_ha,llm_db_site_area_ha,buildable_area_ha,largest_contiguous_ha,patch_count,favourable_area_ha,favourable_area_method,ns05_quality,ns05_llm_text_area_ha,min_core_ha,field_conflict,ns05_comment,ns05_llm_observation
PL,Leczna Power Station (Enea),cancelled,ebc0f461-acfa-47da-8094-5b15ea3e25a0,1.01,,1.01,1.01,11,63.63,comment_buildable_x_fav_pct,low,,1.01,favourable>>contiguous,source=osm_overpass; osm_id=way/298736014; tags=[landuse=industrial]; dist=0.90km; candidates=4 [CORINE ref: 70.7 ha developable in 0–1 km],
HU,Matraterenye power station,cancelled,903d6b94-cd9d-4c32-b7e2-4bbfbee929df,1.17,,1.17,1.17,11,98.54,comment_buildable_x_fav_pct,low,,1.17,favourable>>contiguous,source=osm_overpass; osm_id=way/1020413392; tags=[power=plant]; dist=1.80km [CORINE ref: 201.1 ha developable in 0–1 km],
BA,Kamengrad Thermal Power Plant,cancelled,344e0e9a-558e-4749-bb66-cd746be50cbd,1.32,,1.32,1.32,4,89.84,comment_buildable_x_fav_pct,low,,1.32,favourable>>contiguous,source=osm_overpass; osm_id=way/1081739708; tags=[landuse=industrial]; dist=0.18km; candidates=14,
TR,Irmak power station,cancelled,3819acc8-761d-49ba-89e7-967d3d37ec0e,1.58,,1.58,1.58,1,0.0,comment_buildable_x_fav_pct,low,,1.58,,"source=osm_overpass; osm_id=way/1009383597; tags=[landuse=industrial, name=TEİAŞ Ezine 154 kV Trafo Merkezi, power=substation]; dist=1.39km; candidates=3",
HU,Pecs power station,retired,e1649639-2e45-4226-9c7a-783d2dcb6724,1.69,,1.69,1.69,10,169.93,comment_buildable_x_fav_pct,low,,1.69,favourable>>contiguous,source=osm_overpass; osm_id=way/299084482; tags=[landuse=industrial]; dist=0.60km; candidates=14 [CORINE ref: 249.9 ha developable in 0–1 km],
TR,Kıvanç power station,cancelled,5b6be56c-d981-470c-a979-13a8764a34b8,1.71,,1.71,1.71,3,68.23,comment_buildable_x_fav_pct,low,,1.71,favourable>>contiguous,source=osm_overpass; osm_id=way/166329432; tags=[landuse=industrial]; dist=2.06km,
TR,Mersin Gülnar power station,cancelled,1820429d-bd95-4e56-a6db-d9bb57e2ae07,1.71,,1.71,1.71,6,54.2,comment_buildable_x_fav_pct,low,,1.71,favourable>>contiguous,source=osm_overpass; osm_id=way/166329432; tags=[landuse=industrial]; dist=1.14km,
RS,Štavalj Power Station,cancelled,296282b1-d079-4c1e-b2df-12c25128b963,1.84,,1.84,1.84,1,79.97,comment_buildable_x_fav_pct,low,,1.84,favourable>>contiguous,source=osm_overpass; osm_id=way/891867385; tags=[landuse=industrial]; dist=0.92km; candidates=5,
TR,Kirazlıdere power complex,cancelled,d020ac37-4f23-41b1-8f1e-b425b5769424,,,1.86,,,0.0,comment_buildable_x_fav_pct,worldcover_10m,,1.86,,WorldCover-derived buildable area: 1.9 ha (developable land within 0–1 km radius). Adequacy: insufficient.,
PL,Zarnowiec power station,cancelled,a55e3643-8ed4-434b-b14f-2d549d09c0d9,1.9,,1.9,1.9,4,114.66,comment_buildable_x_fav_pct,low,,1.9,favourable>>contiguous,source=osm_overpass; osm_id=way/130510853; tags=[landuse=industrial]; dist=0.45km; candidates=2 [CORINE ref: 191.1 ha developable in 0–1 km],
RO,Bucharest North East power station,cancelled,3bef37a3-239e-498d-a160-77452a6a9b79,1.9,,1.9,1.9,1,0.0,comment_buildable_x_fav_pct,medium,,1.9,,source=osm_overpass; osm_id=way/23649956; tags=[landuse=industrial]; dist=1.80km; candidates=5 [CORINE ref: 0.0 ha developable in 0–1 km],
TR,Zafer power station,cancelled,772e2484-419b-47de-9739-924ac371ad10,,,5.34,2.89,4,0.0,comment_buildable_x_fav_pct,worldcover_10m,,2.89,site/buildable/contiguous disagree,WorldCover-derived buildable area: 5.3 ha (developable land within 0–1 km radius). Adequacy: insufficient.,
TR,Kireçlik power station,cancelled,76cd9b7f-7613-4fd4-95ab-bf534a2e2f5e,,,3.82,2.94,8,0.0,comment_buildable_x_fav_pct,worldcover_10m,,2.94,site/buildable/contiguous disagree,WorldCover-derived buildable area: 3.8 ha (developable land within 0–1 km radius). Adequacy: insufficient.,
HU,Mecsek Hills power station,cancelled,34d88ce8-d49c-4b19-af2d-6efcb1b72149,3.54,,3.54,3.54,6,2.39,comment_buildable_x_fav_pct,low,,3.54,,source=osm_overpass; osm_id=way/913810608; tags=[landuse=industrial]; dist=0.65km [CORINE ref: 21.7 ha developable in 0–1 km],
PL,Zabrze power station,operating,2da9dab9-7b4e-46e7-b1c8-70eeb329c177,5.06,,5.06,5.06,11,94.48,comment_buildable_x_fav_pct,high,,5.06,favourable>>contiguous,"source=osm_overpass; osm_id=way/172636349; tags=[landuse=industrial, name=Mostostal]; dist=0.55km; candidates=24 [CORINE ref: 102.7 ha developable in 0–1 km]",
PL,Siechnice power station,retired,a7eeee6e-e14a-40ba-80b6-75ed2e170b20,5.08,,5.08,5.08,8,108.68,comment_buildable_x_fav_pct,high,,5.08,favourable>>contiguous,"source=osm_overpass; osm_id=way/179757080; tags=[landuse=industrial, name=Elektrociepłownia Czechnica]; dist=0.06km; candidates=47 [CORINE ref: 143.0 ha developable in 0–1 km]",
TR,Karapinar Konya Şeker power station,cancelled,a6478cb9-5b8c-4d64-bbe6-3d3ed6a3da2c,5.09,,312.24,1247.24,1,243.52,comment_buildable_x_fav_pct,worldcover_10m,,5.09,site/buildable/contiguous disagree; contiguous>buildable,WorldCover-derived buildable area: 312.2 ha (developable land within 0–1 km radius). Adequacy: adequate.,
TR,Ergene power station,cancelled,f92bc907-9b9b-4d21-92fd-1705bd71128c,5.15,,5.15,5.15,1,226.32,comment_buildable_x_fav_pct,high,,5.15,favourable>>contiguous,"source=osm_overpass; osm_id=way/1228951708; tags=[landuse=industrial, power=plant]; dist=0.24km; candidates=14",
PL,Miechowice power station,retired,c42c5942-264d-43a1-a9eb-95b00480eb1a,5.22,,5.22,5.22,10,80.77,comment_buildable_x_fav_pct,medium,,5.22,favourable>>contiguous,"source=osm_overpass; osm_id=way/105361173; tags=[landuse=industrial, man_made=wastewater_plant, name=Oczyszczalnia ścieków Miechowice]; dist=1.11km; candidates=34 [CORINE ref: 128.2 ha developable in 0–1 km]",
MK,Negotino power station,cancelled,83d3abe4-2049-47ad-a66b-46034edb7569,5.25,,5.25,5.25,2,192.91,comment_buildable_x_fav_pct,medium,,5.25,favourable>>contiguous,source=osm_overpass; osm_id=way/423953752; tags=[landuse=industrial]; dist=1.98km; candidates=3,
PL,Kedzierzyn CCS Project,cancelled,239ea0eb-a9c4-43cc-ac5f-35271bdc6613,5.34,,5.34,5.34,4,7.65,comment_buildable_x_fav_pct,medium,,5.34,,"source=osm_overpass; osm_id=way/1180930767; tags=[industrial=railway, landuse=industrial, name=PR Kędzierzyn]; dist=1.89km; candidates=7 [CORINE ref: 17.0 ha developable in 0–1 km]",
AT,Mellach power station,retired,90820fe3-9889-4faf-9906-7c528f8d7bc5,5.36,,5.36,5.36,11,142.13,comment_buildable_x_fav_pct,high,12.0,5.36,favourable>>contiguous,"source=osm_overpass; osm_id=way/866820661; tags=[industrial=power_station, landuse=industrial, name=Gas-Kombikraftwerk Mellach, power=plant]; dist=0.10km; candidates=14 [CORINE ref: 233.0 ha developable in 0–1 km]",
TR,Çerkezköy power station,cancelled,e894ba3e-e397-47c9-b0b9-a72cfb6bd680,5.45,,5.45,5.45,1,236.88,comment_buildable_x_fav_pct,medium,,5.45,favourable>>contiguous,source=osm_overpass; osm_id=way/368283978; tags=[man_made=works]; dist=1.78km; candidates=24,
PL,Pólnoc power station,cancelled,b24f9ac5-5ddf-4b19-ba95-76dafeca3d2c,5.46,,5.46,5.46,6,209.76,comment_buildable_x_fav_pct,medium,,5.46,favourable>>contiguous,source=osm_overpass; osm_id=way/1193310897; tags=[landuse=industrial]; dist=1.48km; candidates=3 [CORINE ref: 262.2 ha developable in 0–1 km],
SI,Te-Tol power station,operating,4cf7f820-7ad9-411e-bf39-2bbef290aaf6,5.48,,5.48,5.48,12,119.56,comment_buildable_x_fav_pct,medium,,5.48,favourable>>contiguous,source=osm_overpass; osm_id=way/1020672952; tags=[landuse=industrial]; dist=1.43km; candidates=6 [CORINE ref: 145.8 ha developable in 0–1 km],
CZ,Plzenska energetika ELU III power station,operating,a6bf9980-016e-47ea-b40a-82e384a9eb43,5.56,,5.56,5.56,7,206.01,comment_buildable_x_fav_pct,high,,5.56,favourable>>contiguous,"source=osm_overpass; osm_id=way/705579238; tags=[landuse=industrial, name=Plzen Skoda Power Station, power=plant]; dist=0.07km; candidates=54 [CORINE ref: 234.1 ha developable in 0–1 km]",
AT,Enns Power Station,cancelled,532bfb42-0d4c-42cf-a81a-287f2b3a75bf,5.71,,5.71,5.71,11,41.49,comment_buildable_x_fav_pct,medium,,5.71,,"source=osm_overpass; osm_id=way/798513073; tags=[landuse=industrial, name=Pfanner Werk 2]; dist=1.50km; candidates=25 [CORINE ref: 50.6 ha developable in 0–1 km]",
PL,Pomorzany power station,operating,e2c23866-db1e-4316-82b5-7e3fe50c3c09,5.74,,5.74,5.74,10,107.93,comment_buildable_x_fav_pct,high,,5.74,favourable>>contiguous,source=osm_overpass; osm_id=way/700928398; tags=[landuse=industrial]; dist=0.46km; candidates=24 [CORINE ref: 125.5 ha developable in 0–1 km],
AL,Porto Romano Power Station,cancelled,e6ecead0-54d1-41fe-8268-1253d0d7ef3e,5.75,,5.75,616.36,4,42.12,comment_buildable_x_fav_pct,high,,5.75,site/buildable/contiguous disagree; contiguous>buildable,source=osm_overpass; osm_id=way/1362940537; tags=[landuse=industrial]; dist=0.41km; candidates=9,
PL,Adamow power station,retired,e4e3b5f0-7038-47a5-84e3-04eb07b3c4d7,5.96,,5.96,5.96,10,211.82,comment_buildable_x_fav_pct,high,,5.96,favourable>>contiguous,"source=osm_overpass; osm_id=way/233668858; tags=[landuse=industrial, name=Turdrog]; dist=0.78km; candidates=12 [CORINE ref: 238.0 ha developable in 0–1 km]",
PL,Murcki-Staszic power station,cancelled,5a57ae0a-6f91-46f4-a1f5-56a6b37596e9,5.97,,5.97,5.97,5,29.15,comment_buildable_x_fav_pct,high,,5.97,,"source=osm_overpass; osm_id=way/1462036742; tags=[landuse=industrial, name=Grenevia SA FAMUR Mining Oddział w Katowicach]; dist=0.75km; candidates=2 [CORINE ref: 112.1 ha developable in 0–1 km]",
BY,Zelwa power station,cancelled,fac3d0b5-36a5-48ae-8494-f2f08e4342f4,6.18,,6.18,6.18,1,101.41,comment_buildable_x_fav_pct,medium,,6.18,favourable>>contiguous,"source=osm_overpass; osm_id=way/498929783; tags=[landuse=industrial, name=МПМК-148]; dist=1.03km; candidates=33",
PL,Legnica Power Station,cancelled,187b4fd7-6a61-4e94-8ed4-495ac6dfc317,6.25,,6.25,6.25,5,0.0,comment_buildable_x_fav_pct,high,,6.25,,"source=osm_overpass; osm_id=way/343439700; tags=[landuse=industrial, name=PATELEC Elpena]; dist=0.74km; candidates=62 [CORINE ref: 0.0 ha developable in 0–1 km]",
BA,Tuzla Thermal Power Plant,operating,0fb50bcc-5616-40d8-9109-8136a958f18d,6.27,,6.27,301.35,25,36.39,comment_buildable_x_fav_pct,medium,130.0,6.27,site/buildable/contiguous disagree; contiguous>buildable,"source=osm_overpass; osm_id=way/280904336; tags=[industrial=factory, landuse=industrial, name=Xella BH d.o.o. - YTONG]; dist=1.67km; candidates=4",
PL,Lodz-2 power station,retired,29a58981-aaf7-4450-ad41-49dd6d786168,6.39,,6.39,6.39,1,0.0,comment_buildable_x_fav_pct,medium,,6.39,,"source=osm_overpass; osm_id=way/100478751; tags=[industrial=depot, landuse=industrial, name=Zajezdnia autobusowa EA-2 „Nowe Sady”]; dist=1.27km; candidates=109 [CORINE ref: 0.0 ha developable in 0–1 km]",
CZ,Mostecka Power Station,cancelled,4eb7914c-e000-403c-b5a5-c350de67bb83,6.65,,6.65,6.65,7,0.0,comment_buildable_x_fav_pct,medium,,6.65,,"source=osm_overpass; osm_id=way/59359678; tags=[industrial=depot, landuse=industrial, name=vozovna DP]; dist=1.54km; candidates=9 [CORINE ref: 0.0 ha developable in 0–1 km]",
SK,Trebisov power station,cancelled,1719d38b-61e8-4b01-844b-3a2f85c8a186,8.91,,8.91,6.68,5,33.63,comment_buildable_x_fav_pct,medium,,6.68,site/buildable/contiguous disagree,source=corine_clc_121; candidates=2 [CORINE ref: 35.4 ha developable in 0–1 km],
TR,Kütahya Domaniç power station,cancelled,2a3aad60-2bff-4206-8275-f6e2029f9278,6.68,,6.68,6.68,10,159.38,comment_buildable_x_fav_pct,medium,,6.68,favourable>>contiguous,"source=osm_overpass; osm_id=way/1448719365; tags=[landuse=industrial, name=Domaniç Küçük Sanayi Sitesi]; dist=1.39km",
BA,Bugojno Thermal Power Project,cancelled,67e5a20f-e3ab-4c18-9864-cf4591d6e15f,6.8,,6.8,6.8,5,109.02,comment_buildable_x_fav_pct,high,,6.8,favourable>>contiguous,"source=osm_overpass; osm_id=way/1087702465; tags=[landuse=industrial, name=Europak doo Bugojno]; dist=0.96km; candidates=6",
HU,Banhida-II power station,retired,f2b3a729-602a-4b6b-acc9-004244f2e556,6.88,,6.88,6.88,11,175.12,comment_buildable_x_fav_pct,medium,11.0,6.88,favourable>>contiguous,source=osm_overpass; osm_id=way/1293673871; tags=[landuse=industrial]; dist=1.32km; candidates=35 [CORINE ref: 218.9 ha developable in 0–1 km],
PL,Czestochowa CHP power station,operating,b789a244-7d29-4be3-afe4-2f45d7f11eab,6.92,,6.92,6.92,8,64.6,comment_buildable_x_fav_pct,high,,6.92,favourable>>contiguous,"source=osm_overpass; osm_id=way/917168995; tags=[landuse=industrial, name=Elektrociepłownia Częstochowa, power=plant]; dist=0.14km; candidates=35 [CORINE ref: 64.6 ha developable in 0–1 km]",
SI,Trbovlje power station,retired,008a3366-6f56-4c1a-ac5d-6b0c75b7c7fd,7.17,,7.17,7.17,10,3.64,comment_buildable_x_fav_pct,medium,12.0,7.17,,"source=osm_overpass; osm_id=way/48826361; tags=[landuse=industrial, name=Deponija premoga Lakonca]; dist=1.40km; candidates=6 [CORINE ref: 33.1 ha developable in 0–1 km]",
TR,Kandilli power station,cancelled,ca423571-d2ab-44d4-b5ce-3e649d9cc776,7.23,,7.23,7.23,19,1.99,comment_buildable_x_fav_pct,high,,7.23,,source=osm_overpass; osm_id=way/191277548; tags=[landuse=industrial]; dist=0.13km; candidates=2,
PL,Rybnik power station,operating,b8a00967-90a3-4a4e-9979-6b8651d87380,7.34,,7.34,7.34,8,93.98,comment_buildable_x_fav_pct,high,,7.34,favourable>>contiguous,source=osm_overpass; osm_id=way/1033893872; tags=[landuse=industrial]; dist=0.87km; candidates=22 [CORINE ref: 191.8 ha developable in 0–1 km],
PL,Poznan Karolin power station,operating,40b4334a-7ba4-4ed8-aa8e-3c405599fbd7,7.53,,7.53,7.53,9,167.17,comment_buildable_x_fav_pct,high,,7.53,favourable>>contiguous,"source=osm_overpass; osm_id=way/790783914; tags=[landuse=industrial, name=Zakład Robót Drogowych]; dist=0.50km; candidates=37 [CORINE ref: 261.2 ha developable in 0–1 km]",
HU,Matra power station,operating,28b36531-865d-42ae-afb3-b8bad86f7014,7.63,,7.63,7.63,12,108.83,comment_buildable_x_fav_pct,high,,7.63,favourable>>contiguous,source=osm_overpass; osm_id=way/189226080; tags=[landuse=industrial]; dist=0.03km; candidates=24 [CORINE ref: 222.1 ha developable in 0–1 km],
RS,Kovin power station,cancelled,5d4aee8d-9e73-4987-907a-d092e0ba92ed,7.86,,7.86,7.86,1,209.27,comment_buildable_x_fav_pct,medium,,7.86,favourable>>contiguous,source=osm_overpass; osm_id=way/1413025923; tags=[landuse=industrial]; dist=1.53km; candidates=8,
TR,Tekirdağ Malkara power station,shelved,0ada7b2a-f928-4c21-b082-4c7345094245,,,7.87,79.64,13,0.55,comment_buildable_x_fav_pct,worldcover_10m,,7.87,site/buildable/contiguous disagree; contiguous>buildable,WorldCover-derived buildable area: 7.9 ha (developable land within 0–1 km radius). Adequacy: insufficient.,
HU,Torony power station,cancelled,059b3ad4-7196-4e6b-b169-8605ceeed841,7.89,,135.32,464.46,6,89.3,comment_buildable_x_fav_pct,corine_proxy,,7.89,site/buildable/contiguous disagree; contiguous>buildable,CORINE-derived buildable area: 135.3 ha (developable land within 0–1 km radius). Adequacy: adequate. [CORINE ref: 135.3 ha developable in 0–1 km],
RO,FPCU Feldioara,operating,18ecb024-ee4f-4045-8254-5e95d61dea8c,8.16,,8.16,8.16,5,314.1,comment_buildable_x_fav_pct,high,345.0,8.16,favourable>>contiguous,source=osm_overpass; osm_id=way/1493620417; tags=[power=plant]; dist=0.88km; candidates=5 [CORINE ref: 314.1 ha developable in 0–1 km],
RO,Slatina power station,cancelled,d498ded8-449c-4672-8bb9-0ed6c8fef775,11.51,,8.27,127.95,7,7.06,comment_buildable_x_fav_pct,corine_proxy,,8.27,site/buildable/contiguous disagree; contiguous>buildable,CORINE-derived buildable area: 8.3 ha (developable land within 0–1 km radius). Adequacy: insufficient. [CORINE ref: 8.3 ha developable in 0–1 km],
PL,Zofiowka Mine power station,operating,b24c9876-5a4d-4b83-b442-af2f4b0d1047,8.29,,8.29,8.29,9,122.89,comment_buildable_x_fav_pct,high,,8.29,favourable>>contiguous,"source=osm_overpass; osm_id=way/916908838; tags=[landuse=industrial, name=Elektrociepłownia ""Zofiówka"", power=plant]; dist=0.11km; candidates=9 [CORINE ref: 161.7 ha developable in 0–1 km]",
TR,Güneybatı Anadolu power station,cancelled,d110df11-ad8e-44dc-8a32-af692ca46c6f,8.39,,8.39,675.01,8,114.65,comment_buildable_x_fav_pct,medium,,8.39,site/buildable/contiguous disagree; contiguous>buildable,"source=osm_overpass; osm_id=way/1050842090; tags=[landuse=industrial, name=Sanayi Sitesi]; dist=1.59km; candidates=7",
LV,Kurzeme power station,cancelled,1a5b8f8f-f4be-4514-8738-755d25e19b41,8.7,,8.7,8.7,6,32.51,comment_buildable_x_fav_pct,medium,,8.7,,"source=osm_overpass; osm_id=way/1304136273; tags=[landuse=industrial, name=Ventspils Augsto tehnoloģiju parks]; dist=1.01km; candidates=15 [CORINE ref: 53.3 ha developable in 0–1 km]",
PL,Kozienice power station,operating,4411a22e-4e8a-4715-b000-1aae34494b68,8.76,,20.61,187.47,8,15.45,comment_buildable_x_fav_pct,corine_proxy,400.0,8.76,site/buildable/contiguous disagree; contiguous>buildable,CORINE-derived buildable area: 20.6 ha (developable land within 0–1 km radius). Adequacy: marginal. [CORINE ref: 20.6 ha developable in 0–1 km],
PL,Czeczott power station,cancelled,a6b51b4f-ba1d-49cd-bc99-8898acdbeb78,9.03,,9.03,9.03,7,88.03,comment_buildable_x_fav_pct,high,,9.03,favourable>>contiguous,"source=osm_overpass; osm_id=way/244075452; tags=[landuse=industrial, name=ELWO]; dist=0.34km; candidates=45 [CORINE ref: 91.7 ha developable in 0–1 km]",
PL,Swiecie Pulp Mill power station,operating,7fc17ab0-ce24-4830-a938-b8424d1e9368,9.3,,9.3,9.3,12,78.97,comment_buildable_x_fav_pct,high,,9.3,favourable>>contiguous,"source=osm_overpass; osm_id=way/920244948; tags=[name=Swiecie Pulp Mill Power Station, power=plant]; dist=0.03km; candidates=19 [CORINE ref: 192.6 ha developable in 0–1 km]",
PL,Szczecin power station,operating,f8f9f43d-6a3b-445d-818e-ca82a90ace65,9.61,,9.61,9.61,2,0.0,comment_buildable_x_fav_pct,high,,9.61,,"source=osm_overpass; osm_id=way/35037834; tags=[landuse=industrial, name=PGE GiEK S.A. Oddział Elektrociepłownia Szczecin, power=plant]; dist=0.07km; candidates=40 [CORINE ref: 0.0 ha developable in 0–1 km]",
BG,Lom Power Station,cancelled,30c9e377-b575-46fa-880f-922c46e6500a,9.66,,9.66,9.66,7,146.29,comment_buildable_x_fav_pct,high,,9.66,favourable>>contiguous,source=osm_overpass; osm_id=way/610506548; tags=[landuse=industrial]; dist=0.21km; candidates=8 [CORINE ref: 232.2 ha developable in 0–1 km],
ME,Bar power station,cancelled,3795824b-cb76-48dd-a65c-764c757ddc76,9.68,,9.68,9.68,12,92.86,comment_buildable_x_fav_pct,high,,9.68,favourable>>contiguous,source=osm_overpass; osm_id=way/171510931; tags=[landuse=industrial]; dist=0.99km; candidates=9,
TR,Avdan power station,cancelled,c7afd455-7beb-4d23-8d3b-e9a102782d2b,9.78,,9.78,9.78,11,163.91,comment_buildable_x_fav_pct,medium,,9.78,favourable>>contiguous,"source=osm_overpass; osm_id=way/482312040; tags=[landuse=industrial, name=Denizli Basma Boya Sanayi A.Ş.]; dist=2.07km",
TR,Atlas Enerji İskenderun power station,operating,1ce7624e-1d72-4293-8ff4-09096b56ddd2,9.98,,9.98,9.98,10,84.67,comment_buildable_x_fav_pct,high,,9.98,favourable>>contiguous,"source=osm_overpass; osm_id=way/702551847; tags=[landuse=industrial, name=İskenderun Atlas Termik Santrali, power=plant]; dist=0.05km; candidates=7",
