count,criterion_id,max,mean,median,metric,min,nulls,p05,p25,p75,p95,rows,stdev,value,zeros
90,HI-03,29.69,12.86111111111111,12.875,nearest_toxic_source_km,0.0,272,1.0635,5.5125,18.7925,27.8785,362,8.367879524725758,,1
0,HI-03,,,,toxic_source_type,,362,,,,,362,,,0
0,HI-03,,,,hi03_quality,,0,,,,,362,,,0
362,HI-03,1.0,1.0,1.0,hi03_search_completed,1.0,0,1.0,1.0,1.0,1.0,362,0.0,,0
0,HI-03,,,,human_run_id,,0,,,,,362,,,0
0,HI-03,,,,human_fetched_at,,0,,,,,362,,,0
362,HI-03,,,,baseline_quality_flag,,,,,,,,,<null>,
362,HI-03,,,,candidate_quality_flag,,,,,,,,,scored,
28,HI-03,,,,candidate_band,,,,,,,,,15-25 km.,
19,HI-03,,,,candidate_band,,,,,,,,,3-8 km.,
23,HI-03,,,,candidate_band,,,,,,,,,8-15 km (project A8 pass-mark).,
12,HI-03,,,,candidate_band,,,,,,,,,< 3 km.,
280,HI-03,,,,candidate_band,,,,,,,,,"> 25 km, or completed toxic-source search found nothing in radius.",
362,HI-03,9.5,8.511049723756907,9.5,candidate_score,1.5,,3.5,9.5,9.5,9.5,,2.090710094949036,,
15,HI-04,29.49,19.292666666666666,23.24,nearest_flammable_storage_km,5.24,347,5.9399999999999995,9.129999999999999,27.33,29.448,362,9.590188786065733,,0
0,HI-04,,,,nearest_pipeline_km,,362,,,,,362,,,0
0,HI-04,,,,hi04_quality,,0,,,,,362,,,0
362,HI-04,1.0,1.0,1.0,hi04_search_completed,1.0,0,1.0,1.0,1.0,1.0,362,0.0,,0
0,HI-04,,,,human_run_id,,0,,,,,362,,,0
0,HI-04,,,,human_fetched_at,,0,,,,,362,,,0
362,HI-04,,,,baseline_quality_flag,,,,,,,,,<null>,
362,HI-04,,,,candidate_quality_flag,,,,,,,,,scored,
4,HI-04,,,,candidate_band,,,,,,,,,4-8 km.,
2,HI-04,,,,candidate_band,,,,,,,,,8-15 km.,
356,HI-04,,,,candidate_band,,,,,,,,,"> 15 km, or completed flammable-storage search found nothing in radius.",
362,HI-04,9.5,9.44475138121547,9.5,candidate_score,5.5,,9.5,9.5,9.5,9.5,,0.4431536055059004,,
0,NH-09,,,,river_distance_km,,362,,,,,362,,,0
13,NH-09,0.0,0.0,0.0,nearest_river_km,0.0,349,0.0,0.0,0.0,0.0,362,0.0,,13
0,NH-09,,,,flood_zone_class_500yr,,0,,,,,362,,,0
0,NH-09,,,,flood_zone_class,,0,,,,,362,,,0
0,NH-09,,,,elevation_above_design_flood_m,,362,,,,,362,,,0
0,NH-09,,,,natural_run_id,,0,,,,,362,,,0
0,NH-09,,,,natural_fetched_at,,0,,,,,362,,,0
362,NH-09,,,,baseline_quality_flag,,,,,,,,,<null>,
362,NH-09,,,,candidate_quality_flag,,,,,,,,,scored,
13,NH-09,,,,candidate_band,,,,,,,,,Benign flood-zone class but river/waterway proxy is within 2 km; routine flood-interface review.,
349,NH-09,,,,candidate_band,,,,,,,,,Low flood-zone class OR >= 4-6 km river separation; meets project A11.,
362,NH-09,7.5,7.428176795580111,7.5,candidate_score,5.5,,7.5,7.5,7.5,7.5,,0.3726546108146904,,
0,NH-11,,,,spi12_min,,362,,,,,362,,,0
0,NH-11,,,,snow_months_per_year,,362,,,,,362,,,0
362,NH-11,66.44,25.109364640883978,23.615000000000002,mean_annual_precip_mm,8.64,0,16.592499999999998,21.0275,27.705,36.85,362,6.997804870272018,,0
362,NH-11,2019.7759999999998,763.3246850828729,717.896,mean_annual_precip_corrected_mm,262.656,0,504.4119999999999,639.2359999999999,842.232,1120.24,362,212.73326805626934,,0
362,NH-11,0.82,0.2620441988950276,0.25,extreme_precip_mm,0.11,0,0.15,0.21,0.3,0.42,362,0.08701079776368446,,0
362,NH-11,24.927999999999997,7.966143646408839,7.6,extreme_precip_corrected_mm,3.344,0,4.56,6.3839999999999995,9.12,12.767999999999999,362,2.6451282520160073,,0
0,NH-11,,,,freezing_days_per_year,,362,,,,,362,,,0
0,NH-11,,,,natural_run_id,,0,,,,,362,,,0
0,NH-11,,,,natural_fetched_at,,0,,,,,362,,,0
362,NH-11,,,,baseline_quality_flag,,,,,,,,,<null>,
362,NH-11,,,,candidate_quality_flag,,,,,,,,,scored,
362,NH-11,,,,candidate_band,,,,,,,,,aggregated(mean_of_sub_scores),
362,NH-11,10.0,7.795580110497237,8.0,candidate_score,2.0,,6.0,8.0,8.0,10.0,,1.4555966384603052,,
0,RI-03,,,,aquifer_type,,2,,,,,362,,,0
0,RI-03,,,,ri03_aquifer_screening_class,,2,,,,,362,,,0
0,RI-03,,,,groundwater_vulnerability_class,,362,,,,,362,,,0
0,RI-03,,,,ri03_quality,,0,,,,,362,,,0
0,RI-03,,,,radiological_run_id,,0,,,,,362,,,0
0,RI-03,,,,radiological_fetched_at,,0,,,,,362,,,0
362,RI-03,,,,baseline_quality_flag,,,,,,,,,<null>,
360,RI-03,,,,candidate_quality_flag,,,,,,,,,scored,
2,RI-03,,,,candidate_quality_flag,,,,,,,,,unscored,
17,RI-03,,,,candidate_band,,,,,,,,,Karst aquifer screening proxy.,
85,RI-03,,,,candidate_band,,,,,,,,,Low-permeability aquifer screening proxy.,
258,RI-03,,,,candidate_band,,,,,,,,,Moderate-permeability aquifer screening proxy.,
2,RI-03,,,,candidate_band,,,,,,,,,no_band_matched — pass-mark default (unscored),
362,RI-03,7.5,5.779005524861878,5.5,candidate_score,1.5,,5.025,5.5,5.5,7.5,,1.2722484752574381,,
164,RI-05,97.01,22.58189024390244,14.235,nearest_city_50k_km,0.63,198,1.5045,4.0600000000000005,35.4375,64.33449999999996,362,22.35709191692302,,0
164,RI-05,2131034.0,234869.53658536586,133813.0,nearest_city_pop,53848.0,198,62866.0,90239.25,272295.25,670483.7999999999,362,315476.6490068151,,0
362,RI-05,3209.0,273.9841712707182,136.45499999999998,pop_density_16km,1.85,0,18.271,62.8675,314.9025,1024.846499999999,362,414.0541735381743,,0
362,RI-05,2580574.0,220328.95580110498,109733.5,pop_total_16km,1489.0,0,14696.6,50558.0,253234.0,824149.4499999991,362,332968.6970613527,,0
289,RI-05,48.0,14.837370242214533,16.0,ri05_required_distance_km,8.0,73,8.0,8.0,16.0,32.0,362,7.5114164039610225,,0
164,RI-05,1112.625,84.72618292682927,20.8125,ri05_distance_margin_pct,-96.667,198,-90.1447,-74.328,175.125,468.90354999999977,362,205.02711794830262,,0
0,RI-05,,,,radiological_run_id,,0,,,,,362,,,0
0,RI-05,,,,radiological_fetched_at,,0,,,,,362,,,0
362,RI-05,,,,baseline_quality_flag,,,,,,,,,<null>,
362,RI-05,,,,candidate_quality_flag,,,,,,,,,scored,
41,RI-05,,,,candidate_band,,,,,,,,,"GHSL 16 km population proxy indicates >=50k people in the wider screening ring, but no city-distance margin is available.",
77,RI-05,,,,candidate_band,,,,,,,,,"GHSL 16 km population proxy indicates a substantial population cluster; city-distance margin unavailable, so score conservatively.",
7,RI-05,,,,candidate_band,,,,,,,,,GHSL 16 km population proxy indicates very high population in the screening ring; city-distance margin unavailable.,
5,RI-05,,,,candidate_band,,,,,,,,,Nearest >=50k population-centre proxy exceeds required distance by 25-50 %.,
75,RI-05,,,,candidate_band,,,,,,,,,Nearest >=50k population-centre proxy exceeds required distance by >= 50 %.,
6,RI-05,,,,candidate_band,,,,,,,,,Nearest >=50k population-centre proxy meets required distance (pass mark).,
6,RI-05,,,,candidate_band,,,,,,,,,Nearest >=50k population-centre proxy misses required distance by <= 25 %.,
69,RI-05,,,,candidate_band,,,,,,,,,Nearest >=50k population-centre proxy misses required distance by > 25 %.,
73,RI-05,,,,candidate_band,,,,,,,,,No >=50k population-centre proxy within screening envelope.,
3,RI-05,,,,candidate_band,,,,,,,,,Site embedded within 5 km of a >1M population centre.,
362,RI-05,9.5,5.819060773480663,5.5,candidate_score,0.0,,1.5,3.5,9.5,9.5,,3.3245075367559815,,
