run_id,criterion_id,family,name,declared_weight,observed_min,observed_max,observed_range,swing_weight,delta,created_at
swing_20260425_ff84d75e,NS-01,NS,Cooling water / ultimate heat sink,0.028269,5.0,7.0,2.0,0.014486,-0.013782,2026-04-25 14:20:58.622557+00:00
swing_20260425_ff84d75e,NS-02,NS,Grid connection (detailed),0.028269,3.5,9.5,6.0,0.043459,0.01519,2026-04-25 14:20:58.622556+00:00
swing_20260425_ff84d75e,NS-03,NS,Transport access (heavy haul road / rail / port),0.028269,5.0,10.0,5.0,0.036215,0.007947,2026-04-25 14:20:58.622559+00:00
swing_20260425_ff84d75e,NS-04,NS,Site topography / grading,0.021201,1.5,9.5,8.0,0.043459,0.022257,2026-04-25 14:20:58.622553+00:00
swing_20260425_ff84d75e,NS-05,NS,Land availability / ownership / zoning,0.017668,1.5,9.5,8.0,0.036215,0.018548,2026-04-25 14:20:58.622554+00:00
swing_20260425_ff84d75e,NS-06,NS,Existing infrastructure reuse,0.017668,5.0,5.0,0.0,0.004527,-0.013141,2026-04-25 14:20:58.622557+00:00
swing_20260425_ff84d75e,NS-07,NS,Environmental impact (non-radiological),0.017668,5.0,5.0,0.0,0.004527,-0.013141,2026-04-25 14:20:58.622558+00:00
swing_20260425_ff84d75e,NS-08,NS,Ecological sensitivity (Natura 2000 / WDPA),0.021201,3.5,7.5,4.0,0.021729,0.000528,2026-04-25 14:20:58.622563+00:00
swing_20260425_ff84d75e,NS-09,NS,Socioeconomic impact,0.017668,5.0,5.0,0.0,0.004527,-0.013141,2026-04-25 14:20:58.622558+00:00
swing_20260425_ff84d75e,NS-10,NS,Workforce availability,0.014134,5.0,5.0,0.0,0.003622,-0.010513,2026-04-25 14:20:58.622559+00:00
swing_20260425_ff84d75e,NS-11,NS,Coal-to-nuclear synergies,0.021201,5.0,5.0,0.0,0.005432,-0.015769,2026-04-25 14:20:58.622556+00:00
swing_20260425_ff84d75e,NS-12,NS,Regulatory / political environment,0.021201,5.0,5.0,0.0,0.005432,-0.015769,2026-04-25 14:20:58.622556+00:00
swing_20260425_ff84d75e,NS-13,NS,Construction logistics,0.014134,5.0,5.0,0.0,0.003622,-0.010513,2026-04-25 14:20:58.622559+00:00
swing_20260425_ff84d75e,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.021201,5.0,5.0,0.0,0.005432,-0.015769,2026-04-25 14:20:58.622556+00:00
swing_20260425_ff84d75e,RI-02,RI,Surface water dispersion,0.017668,1.5,9.5,8.0,0.036215,0.018548,2026-04-25 14:20:58.622554+00:00
swing_20260425_ff84d75e,RI-03,RI,Groundwater dispersion,0.017668,5.0,5.0,0.0,0.004527,-0.013141,2026-04-25 14:20:58.622558+00:00
swing_20260425_ff84d75e,RI-04,RI,Population density (EPZ rings),0.028269,1.5,9.5,8.0,0.057945,0.029676,2026-04-25 14:20:58.622551+00:00
swing_20260425_ff84d75e,RI-05,RI,Distance to large population centres (>50 k),0.035336,5.0,5.0,0.0,0.009054,-0.026282,2026-04-25 14:20:58.622552+00:00
swing_20260425_ff84d75e,RI-06,RI,Population projections (60-yr design life),0.017668,1.5,9.5,8.0,0.036215,0.018548,2026-04-25 14:20:58.622555+00:00
